ID;GENRE_IDS;RELEASE_DATE;VOTE_COUNT;VOTE_AVERAGE;TITLE
722149;[80, 9648, 53];2023-02-24;949;6.677;Luther: The Fallen Sun
1077280;[35, 28, 53];2023-02-22;456;5.953;Die Hart
804150;[53, 35, 80];2023-02-22;2114;6.0;Cocaine Bear
1091834;[99];2023-02-19;353;6.8;Return
1063422;[53];2023-02-17;368;5.402;The Strays
849869;[28, 18, 53, 80];2023-02-17;436;6.8;Kill Boksoon
844417;[80];2023-02-15;374;5.734;Marlowe
640146;[28, 12, 878];2023-02-15;5120;6.305;Ant-Man and the Wasp: Quantumania
1016084;[35];2023-02-13;604;7.137;BlackBerry
717980;[53, 80, 18];2023-02-10;542;6.9;Sharper
703451;[10749, 35];2023-02-10;781;6.268;Your Place or Mine
906221;[35, 18, 10749];2023-02-09;511;6.512;Magic Mike's Last Dance
967585;[35, 10751];2023-02-08;419;6.6;Alibi.com 2
643215;[10751, 35, 12];2023-02-01;1005;4.872;Asterix & Obelix: The Middle Kingdom
631842;[27, 9648, 53];2023-02-01;2719;6.276;Knock at the Cabin
667216;[27, 878];2023-01-27;807;6.072;Infinity Pool
980078;[27, 53];2023-01-26;1403;5.0;Winnie the Pooh: Blood and Honey
842675;[878];2023-01-22;588;7.263;The Wandering Earth II
866413;[10749, 35];2023-01-20;711;5.643;You People
768362;[18, 9648, 53];2023-01-19;1066;7.4;Missing
877703;[28, 14, 10770];2023-01-18;856;7.5;Teen Wolf: The Movie
296271;[27, 14, 878, 53];2023-01-13;389;6.504;The Devil Conspiracy
843794;[878];2023-01-12;609;6.1;JUNG_E
646389;[28, 12, 53];2023-01-12;2291;6.936;Plane
816904;[16, 12, 14];2023-01-05;463;6.976;Mummies
739405;[28, 53, 35, 12];2023-01-04;1597;6.49;Operation Fortune: Ruse de Guerre
937278;[35, 18];2022-12-28;2913;7.769;A Man Called Otto
758009;[28, 35, 10749];2022-12-28;1187;6.3;Shotgun Wedding
536554;[878, 27];2022-12-28;4123;7.057;M3GAN
995133;[16, 10751, 12, 14];2022-12-25;602;8.2;The Boy, the Mole, the Fox and the Horse
